scenario,case,step_index,sweep_x,sweep_key,sweep_xlabel,gt_C_MD,mean_cov_C_MD,median_cov_C_MD,n_rel_err_C_MD,mean_rel_err_C_MD,median_rel_err_C_MD,std_rel_err_C_MD,p90_rel_err_C_MD,max_rel_err_C_MD,n_abs_err_C_MD,mean_abs_err_C_MD,median_abs_err_C_MD,std_abs_err_C_MD,p90_abs_err_C_MD,max_abs_err_C_MD
iso_uni_gauss_2,iso_uni2.10,8,2.1,iso_uni,E[D_iso] [um2/ms],0.010169963465211691,0.1263109362502002,0.12994010261673822,100,11.419999017918894,11.776850483408644,1.770747554865763,13.376808568676273,14.83681531860946,100,0.11614097278498853,0.11977013915152654,0.01800843793909774,0.13604165442456836,0.15088986973035137
partial_volume_triplet,partial_volume_triplet_fiso0.00,1,0.0,partial_volume,Isotropic fraction,0.008560406995724386,-0.02502411394362419,0.005837041164892131,100,11.147188981715294,7.579609248163509,12.410826609752053,21.24699261490049,78.79804715137662,100,0.0954244745417374,0.06488454003283615,0.10624172693284384,0.1818829042186985,0.6745433540840645
iso_uni_gauss_2,iso_uni1.85,7,1.85,iso_uni,E[D_iso] [um2/ms],0.010404242890433428,0.12190055231829756,0.12374536685358284,100,10.71642700021773,10.893740674524732,1.9041189053345224,12.908731463425081,14.606149748049704,100,0.11149630942786412,0.11334112396314941,0.019810915583366586,0.1343055775528547,0.15196592967275213
iso_uni_gauss_2,iso_uni0.60,1,0.6,iso_uni,E[D_iso] [um2/ms],0.00963034090697608,0.0017469282125106688,0.033036562167137226,100,10.368741270556505,8.822639530532701,8.931906282395373,22.522371817997122,44.38405155592232,100,0.09985451321169143,0.08496502637839332,0.0860173024486288,0.2168981186409829,0.4274335473163341
demyelination_progressive_sticks,demyelination_progressive_sticks_end0.42,9,0.42,demyelination,End D_perp [um2/ms],0.007962218950421547,0.018250958316152824,0.04051357605059083,100,9.896260235634308,7.825708733517914,11.312749460184921,15.868548298396364,100.77662174261579,100,0.07879619078647072,0.062310006378495736,0.09007458813325551,0.12634885597717113,0.8024055273985196
iso_uni_gauss_2,iso_uni1.60,6,1.6,iso_uni,E[D_iso] [um2/ms],0.00977579154220615,0.10438395283664441,0.10347046378180164,100,9.709656390645982,9.584356605301647,2.7737828537448586,13.180216930685521,15.340342697980255,100,0.09491957682140491,0.09369467223959549,0.027115922961555426,0.12884705319543782,0.14996399240145925
iso_uni_gauss_2,iso_uni1.40,5,1.4,iso_uni,E[D_iso] [um2/ms],0.009248248551445912,0.08408058456497608,0.09072042881827651,100,8.37346895509995,8.809471308390915,3.519848244597726,12.731415294787238,15.911298234061436,100,0.07743992213458042,0.08147218026683059,0.032552431429410354,0.1177432930578724,0.14715164084478258
demyelination_progressive_sticks,demyelination_progressive_sticks_end0.48,10,0.48,demyelination,End D_perp [um2/ms],0.010751373796983371,0.026532950637670104,0.0467323576583,100,7.255739037650213,5.851493764363199,5.36325806871432,12.773348993217231,32.86884194711777,100,0.07800916256714185,0.06291159673138609,0.05766239226643478,0.13733104966539966,0.3533852060474299
iso_uni_gauss_2,iso_uni1.20,4,1.2,iso_uni,E[D_iso] [um2/ms],0.01019924293900941,0.06981091202485895,0.07346261974128199,100,6.85426987164684,6.2488822203737975,3.912503408120214,10.868538041320985,27.587177937015653,100,0.06990836359045897,0.06373386786284889,0.039904572759120335,0.1108508598752982,0.28136832978130305
iso_uni_gauss_2,iso_uni1.00,3,1.0,iso_uni,E[D_iso] [um2/ms],0.009534249485582484,0.04276466208241561,0.05303811659527783,100,6.1975084415706885,5.935503949867522,4.467908073293263,11.040529070729303,24.399395391745944,100,0.05908859167093843,0.05659057548069723,0.042598150249426106,0.1052631586131593,0.23262992296227739
iso_uni_gauss_2,iso_uni0.80,2,0.8,iso_uni,E[D_iso] [um2/ms],0.009988990471428717,0.010902167847946329,0.021539997286637094,100,6.096154851799115,5.102547836079529,5.353164049800609,12.672732146449569,29.300352730258073,100,0.0608944327269753,0.050969301714607625,0.05347270468545304,0.12658780065785313,0.29268094423204827
spheres_2,spheres_csf_1500_w0.28,5,0.28,spheres_w,Half-width [um2/ms],0.013032212299376605,0.0861448130737183,0.08598678261074934,100,5.704074647065237,5.598018865520055,2.3696822963991133,8.566794031337231,11.196479301674925,100,0.07433671177204583,0.07295457031137273,0.030882202768747518,0.11164427854141916,0.14591489526500354
iso_bimod_gauss_2,iso_bimod0.80_V0.01,1,0.01,md_0.80,V[D_iso] [um4/ms2],0.015744718370377175,0.022171270887998026,0.039392854745058326,100,4.0525258693762956,3.4970755756707943,3.1470203795432647,8.274333216985367,16.54279775520505,100,0.06380587850199768,0.05506047005886129,0.04954894958174619,0.13027704620409156,0.2604616917138112
spheres_2,spheres_csf_1500_w0.36,6,0.36,spheres_w,Half-width [um2/ms],0.021389654283791873,0.09108189888615308,0.0939974796084917,100,3.3068161086453354,3.3945301013919984,1.4828753612358943,4.892566068569093,6.69866505132984,100,0.07073165334399766,0.07260782532469981,0.03171819132278877,0.10465029676730365,0.14328212961086423
spheres_2,spheres_csf_1500_w0.44,7,0.44,spheres_w,Half-width [um2/ms],0.032464340066622493,0.09135561076860467,0.09446019970604203,100,1.9116694170927346,1.939957358847987,0.8917470621664149,2.9882304497053758,3.860180902177085,100,0.062061086051460546,0.06297943541238785,0.02894997987958204,0.09701092951667159,0.1253182255269585
